obsid,xid,dist_pc,wave,star_mjy,chi_star,ra_obs,de_obs,level,path
1342189387,V* EP Cha,,70,1.76527,32.356,131.75640750310606,-78.99280815729315,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292753/1342189387/level2/HPPPMAPB/hpacs1342189387_20hpppmapb_00_1469257010928.fits.gz
1342189394,* bet03 Tuc,45.558086560364465,70,8.02756,11.3874,8.183473743021455,-63.031640440623725,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292755/1342189394/level2/HPPPMAPB/hpacs1342189394_20hpppmapb_00_1469257089249.fits.gz
1342189592,2MASS J15355780-2324046,,70,0.168157,,233.99081166818237,-23.40134429374936,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292756/1342189592/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_1536_m2324_00_v1.0_1470576690104.fits.gz
1342189656,HD 142315,147.7104874446086,70,1.78436,33.817,238.6732753823612,-22.766317153842124,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292758/1342189656/level2/HPPPMAPB/hpacs1342189656_20hpppmapb_00_1469260201233.fits.gz
1342189657,2MASS J15562477-2225552,141.1751418810176,70,0.10528299999999999,4.98639,239.10317759673413,-22.432098101159376,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292759/1342189657/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_1556_m2226_00_v1.0_1470577311672.fits.gz
1342189658,HD 142097,140.92049265804238,70,1.33118,2.36911,238.34132315728561,-21.971360554956263,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292760/1342189658/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_1553_m2158_00_v1.0_1470577553994.fits.gz
1342189659,2MASS J15441334-2522590,,70,0.248523,,236.05556223968327,-25.383155694443804,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292761/1342189659/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_1544_m2523_00_v1.0_1470577687070.fits.gz
1342190306,V* T Tau,144.3209698369173,70,3.0493400000000004,38.6543,65.49766874900382,19.535080319213268,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292762/1342190306/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0422_p1932_00_v1.0_1470591552371.fits.gz
1342190345,HD 285778,120.07829104576186,70,0.375347,1.9312,66.79404452213085,17.845144448102733,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292763/1342190345/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0427_p1751_00_v1.0_1470588821092.fits.gz
1342190346,HBC 392,140.21705600269217,70,0.158735,1.45546,67.8632645150932,17.10681069124866,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292764/1342190346/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0431_p1706_00_v1.0_1470588836409.fits.gz
1342190967,* 51 Eri,29.42907592701589,70,12.1282,2.52993,69.40067667014992,-2.473729969120888,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292766/1342190967/level2/HPPPMAPB/hpacs1342190967_20hpppmapb_00_1469267769271.fits.gz
1342190967,* c Eri,29.42907592701589,70,12.1282,2.52993,,,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292766/1342190967/level2/HPPPMAPB/hpacs1342190967_20hpppmapb_00_1469267769271.fits.gz
