"obsid","xid","dist_pc","filter","wave","model_jy","star_jy","chi_star","ra_obs","de_obs"
1342269662,"HD 35996",92.0700100356311,"PACS70",70,0.00191601,0.00105048,1.87337,81.60018026429736,-43.37570675740611
1342269254,"HD 36329",72.46376811594203,"PACS100",100,0.000688621,0.000688621,,82.35053386553334,-34.51540003518469
1342269254,"HD 36329",72.46376811594203,"PACS70",70,0.00139661,0.00139661,0.482525,82.35053386553334,-34.51540003518469
1342252043,"HD 37594",42.034468263976464,"PACS100",100,0.475479,0.00311124,22.6235,84.87977872016747,-3.5646960617592693
1342252043,"HD 37594",42.034468263976464,"PACS70",70,0.433703,0.00634565,29.6505,84.87977872016747,-3.5646960617592693
1342270963,"HD 40540",86.73026886383349,"PACS100",100,0.100408,0.00071941,22.1638,89.46920858565896,-34.47617864444643
1342270963,"HD 40540",86.73026886383349,"PACS70",70,0.128823,0.00146312,,89.46920858565896,-34.47617864444643
1342269656,"HD 48370",35.72704537334763,"PACS100",100,0.216132,0.001292,,100.75431995579893,-2.888962707397235
1342269656,"HD 48370",35.72704537334763,"PACS70",70,0.13643,0.00261816,34.852,100.75431995579893,-2.888962707397235
1342269660,"HD 51797",95.64893016671608,"PACS100",100,0.000325655,0.000325655,,104.09810669864153,-46.78189932074266
1342269660,"HD 51797",95.64893016671608,"PACS70",70,0.000661421,0.000661421,2.94697,104.09810669864153,-46.78189932074266
1342242692,"HD 54371",25.194247649376695,"PACS100",100,0.00307317,0.00307317,,107.39698380531253,25.728051585669522
1342242692,"HD 54371",25.194247649376695,"PACS70",70,0.00622862,0.00622862,2.14271,107.39698380531253,25.728051585669522
1342242703,"HR 2918",41.48947204646821,"PACS100",100,0.00665177,0.00665177,,114.14423187766587,5.862266198889564
1342242703,"HR 2918",41.48947204646821,"PACS70",70,0.013489,0.013489,0.992857,114.14423187766587,5.862266198889564
1342243119,"HD 61005",36.737692872887585,"PACS100",100,0.721078,0.00111854,31.6188,113.94753847794331,-32.2036483908244
1342243119,"HD 61005",36.737692872887585,"PACS70",70,0.704865,0.00226812,32.5439,113.94753847794331,-32.2036483908244
1342243119,"HD 61005",36.737692872887585,"PACS100",100,0.721078,0.00111854,31.6188,113.94751887871381,-32.20362607776806
1342243119,"HD 61005",36.737692872887585,"PACS70",70,0.704865,0.00226812,32.5439,113.94751887871381,-32.20362607776806
1342243740,"HD 61994",29.11148826661465,"PACS100",100,0.00301718,0.00301718,,116.87649236774931,70.20617397210371
1342243740,"HD 61994",29.11148826661465,"PACS70",70,0.00611656,0.00611656,0.0743911,116.87649236774931,70.20617397210371
1342269779,"HD 67945",112.47202258438213,"PACS100",100,0.000574256,0.000574256,,122.41067374423316,-20.230453837038677
1342269779,"HD 67945",112.47202258438213,"PACS70",70,0.00116924,0.00116924,1.33195,122.41067374423316,-20.230453837038677
1342224377,"* 49 Cet",59.38242280285036,"PACS100",100,1.99563,0.00251023,26.5508,23.657726630375876,-15.676370783680433
1342224377,"* 49 Cet",59.38242280285036,"PACS70",70,2.11684,0.00513685,29.6791,23.657726630375876,-15.676370783680433
1342233625,"HD 142",25.713551041398816,"PACS100",100,0.00675472,0.00675472,,1.5828250477552988,-49.07531999332876
1342233625,"HD 142",25.713551041398816,"PACS70",70,0.0136822,0.0136822,2.78064,1.5828250477552988,-49.07531999332876
1342247696,"HD 13246",45.74565416285453,"PACS100",100,0.0162819,0.001333,,31.859496120799903,-59.67949274293768
1342247696,"HD 13246",45.74565416285453,"PACS70",70,0.0222732,0.00271634,18.9904,31.859496120799903,-59.67949274293768
1342249142,"V* IS Eri",38.328861632809506,"PACS100",100,0.00122569,0.000873701,,47.426525748884764,-9.580000812959742
1342249142,"V* IS Eri",38.328861632809506,"PACS70",70,0.00248348,0.00176961,0.295779,47.426525748884764,-9.580000812959742
1342250281,"HD 23267",153.84615384615384,"PACS100",100,0.00722767,0.000640022,4.99052,56.379544406669474,42.00681400036726
1342250281,"HD 23267",153.84615384615384,"PACS70",70,0.0146649,0.00129999,,56.379544406669474,42.00681400036726
1342249984,"V* V1229 Tau",132.1003963011889,"PACS100",100,0.00288811,0.000790028,,56.87279510735126,24.288173602226088
1342249984,"V* V1229 Tau",132.1003963011889,"PACS70",70,0.00489159,0.00161824,1.284,56.87279510735126,24.288173602226088
1342249190,"HD 23763",127.54613981607847,"PACS100",100,0.00326193,0.000872475,,57.12547920326699,24.345361888520344
1342249190,"HD 23763",127.54613981607847,"PACS70",70,0.00532615,0.00178134,2.42819,57.12547920326699,24.345361888520344
1342248663,"HD 24141",54.21817393190198,"PACS100",100,0.0038858,0.00270824,,58.430930764939504,57.97482738407941
1342248663,"HD 24141",54.21817393190198,"PACS70",70,0.00923181,0.00552615,4.0404,58.430930764939504,57.97482738407941
1342249950,"HD 24817",70.2247191011236,"PACS100",100,0.00491305,0.00161458,,59.257288760895975,6.039734989806225
1342249950,"HD 24817",70.2247191011236,"PACS70",70,0.00912877,0.00330312,6.42559,59.257288760895975,6.039734989806225
1342250837,"* b Tau",48.85197850512946,"PACS100",100,0.0929605,0.00591768,15.7884,67.20939340748158,13.04754967687381
1342250837,"* b Tau",48.85197850512946,"PACS70",70,0.12267,0.0120606,,67.20939340748158,13.04754967687381
1342250834,"V* EX Eri",56.17977528089887,"PACS100",100,0.0431286,0.00211514,9.76357,71.60726949821901,-28.08738393229302
1342250834,"V* EX Eri",56.17977528089887,"PACS70",70,0.0536074,0.00430601,10.765,71.60726949821901,-28.08738393229302
1342250326,"* l Tau",61.97015517326855,"PACS100",100,0.0188022,0.00366172,,76.95149072727747,20.41826862444471
1342250326,"* l Tau",61.97015517326855,"PACS70",70,0.0312073,0.00747932,19.0271,76.95149072727747,20.41826862444471
1342250072,"HD 37286",52.798310454065465,"PACS100",100,0.0098693,0.00168449,,84.04299899457055,-28.708024144074134
1342250072,"HD 37286",52.798310454065465,"PACS70",70,0.0195473,0.00343903,17.0662,84.04299899457055,-28.708024144074134
1342252035,"HD 38056",153.60983102918587,"PACS100",100,0.0210963,0.00102066,14.7852,85.36221396959338,-33.400786759628325
1342252035,"HD 38056",153.60983102918587,"PACS70",70,0.0309002,0.00207467,,85.36221396959338,-33.400786759628325
1342250075,"HD 38206",75.07507507507508,"PACS100",100,0.346866,0.00179602,,85.84036743233172,-18.557522397222623
1342250075,"HD 38206",75.07507507507508,"PACS70",70,0.361063,0.00363455,30.6864,85.84036743233172,-18.557522397222623
1342231152,"HD 50554",30.684258975145745,"PACS100",100,0.0352575,0.00267175,18.4692,103.67831312565113,24.245239648575648
1342231152,"HD 50554",30.684258975145745,"PACS70",70,0.0419464,0.0054186,22.24,103.67831312565113,24.245239648575648
1342231564,"HD 52265",29.797377830750893,"PACS100",100,0.0290361,0.00412491,9.0618,105.07476659545458,-5.366898083793287
1342231564,"HD 52265",29.797377830750893,"PACS70",70,0.0332173,0.00837069,7.45638,105.07476659545458,-5.366898083793287
1342245204,"HD 60737",39.40110323089046,"PACS100",100,0.0132869,0.00130671,11.0192,114.56841625874311,47.7481004537037
1342245204,"HD 60737",39.40110323089046,"PACS70",70,0.0151203,0.00265085,,114.56841625874311,47.7481004537037
